Estacao,Data,Hora,Precipitacao
83813,10/07/2015,1200,0
83813,11/07/2015,1200,"25,1"
83813,12/07/2015,1200,"4,9"
83813,13/07/2015,1200,42
83813,14/07/2015,1200,0
83813,15/07/2015,1200,"40,4"
83813,16/07/2015,1200,"0,2"
83813,17/07/2015,1200,"43,1"
83813,18/07/2015,1200,8
83813,19/07/2015,1200,"0,1"
83813,20/07/2015,1200,0
83813,21/07/2015,1200,"14,2"
83813,22/07/2015,1200,0
83813,23/07/2015,1200,0
83813,24/07/2015,1200,0
83813,25/07/2015,1200,"27,4"
83813,26/07/2015,1200,"0,1"
83813,27/07/2015,1200,0
83813,28/07/2015,1200,0
83813,29/07/2015,1200,0
83813,30/07/2015,1200,0
83813,31/07/2015,1200,0
83813,01/08/2015,1200,0
83813,02/08/2015,1200,0
83813,03/08/2015,1200,0
83813,04/08/2015,1200,0
83813,05/08/2015,1200,0
83813,06/08/2015,1200,0
83813,07/08/2015,1200,0
83813,08/08/2015,1200,0
83813,09/08/2015,1200,0
83813,10/08/2015,1200,0
83813,11/08/2015,1200,0
83813,12/08/2015,1200,0
83813,13/08/2015,1200,0
83813,14/08/2015,1200,0
83813,15/08/2015,1200,0
83813,16/08/2015,1200,0
83813,17/08/2015,1200,0
83813,18/08/2015,1200,0
83813,19/08/2015,1200,"4,2"
83813,20/08/2015,1200,0
83813,21/08/2015,1200,0
83813,22/08/2015,1200,0
83813,23/08/2015,1200,0
83813,24/08/2015,1200,"12,3"
83813,25/08/2015,1200,"2,2"
83813,26/08/2015,1200,"8,2"
83813,27/08/2015,1200,"13,6"
83813,28/08/2015,1200,0
83813,29/08/2015,1200,0
83813,30/08/2015,1200,0
83813,31/08/2015,1200,0
83813,01/09/2015,1200,0
83813,02/09/2015,1200,0
83813,03/09/2015,1200,0
83813,04/09/2015,1200,"9,4"
83813,05/09/2015,1200,"0,8"
83813,06/09/2015,1200,0
83813,07/09/2015,1200,0
83813,08/09/2015,1200,"62,2"
83813,09/09/2015,1200,"29,8"
83813,10/09/2015,1200,0
83813,11/09/2015,1200,"17,1"
83813,12/09/2015,1200,0
83813,13/09/2015,1200,0
83813,14/09/2015,1200,0
83813,15/09/2015,1200,0
83813,16/09/2015,1200,0
83813,17/09/2015,1200,"2,9"
83813,18/09/2015,1200,0
83813,19/09/2015,1200,0
83813,20/09/2015,1200,0
83813,21/09/2015,1200,0
83813,22/09/2015,1200,0
83813,23/09/2015,1200,0
83813,24/09/2015,1200,0
83813,25/09/2015,1200,0
83813,26/09/2015,1200,"12,1"
83813,27/09/2015,1200,"11,6"
83813,28/09/2015,1200,"16,6"
83813,29/09/2015,1200,0
83813,30/09/2015,1200,0
83813,01/10/2015,1200,4
83813,02/10/2015,1200,0
83813,03/10/2015,1200,7
83813,04/10/2015,1200,"0,3"
83813,05/10/2015,1200,0
83813,06/10/2015,1200,0
83813,07/10/2015,1200,0
83813,08/10/2015,1200,0
83813,09/10/2015,1200,14
83813,10/10/2015,1200,"24,3"
83813,11/10/2015,1200,"1,9"
83813,12/10/2015,1200,"64,7"
83813,13/10/2015,1200,"2,6"
83813,14/10/2015,1200,2
83813,15/10/2015,1200,0
83813,16/10/2015,1200,"1,4"
83813,17/10/2015,1200,0
83813,18/10/2015,1200,"8,6"
83813,19/10/2015,1200,0
83813,20/10/2015,1200,0
83813,21/10/2015,1200,"0,4"
83813,22/10/2015,1200,0
83813,23/10/2015,1200,21
83813,24/10/2015,1200,"0,2"
83813,25/10/2015,1200,0
83813,26/10/2015,1200,"7,1"
83813,27/10/2015,1200,"27,2"
83813,28/10/2015,1200,"13,6"
83813,29/10/2015,1200,0
83813,30/10/2015,1200,"0,2"
83813,31/10/2015,1200,2
83813,01/11/2015,1200,"17,6"
83813,02/11/2015,1200,"4,4"
