Estacao,Data,Hora,Precipitacao
83842,19/07/2015,1200,0
83842,20/07/2015,1200,0
83842,21/07/2015,1200,18.4
83842,22/07/2015,1200,0
83842,23/07/2015,1200,0
83842,24/07/2015,1200,0
83842,25/07/2015,1200,12.2
83842,26/07/2015,1200,0
83842,27/07/2015,1200,0
83842,28/07/2015,1200,0
83842,29/07/2015,1200,0
83842,30/07/2015,1200,0.1
83842,31/07/2015,1200,0
83842,01/08/2015,1200,0
83842,02/08/2015,1200,0
83842,03/08/2015,1200,0
83842,04/08/2015,1200,0
83842,05/08/2015,1200,0
83842,06/08/2015,1200,0
83842,07/08/2015,1200,0
83842,08/08/2015,1200,0
83842,09/08/2015,1200,0
83842,10/08/2015,1200,0
83842,11/08/2015,1200,0
83842,12/08/2015,1200,0
83842,13/08/2015,1200,0
83842,14/08/2015,1200,0
83842,15/08/2015,1200,0
83842,16/08/2015,1200,0
83842,17/08/2015,1200,0
83842,18/08/2015,1200,0.2
83842,19/08/2015,1200,3.6
83842,20/08/2015,1200,0
83842,21/08/2015,1200,0
83842,22/08/2015,1200,0
83842,23/08/2015,1200,0
83842,24/08/2015,1200,6.9
83842,25/08/2015,1200,0.1
83842,26/08/2015,1200,0.9
83842,27/08/2015,1200,14.3
83842,28/08/2015,1200,0
83842,29/08/2015,1200,0
83842,30/08/2015,1200,0
83842,31/08/2015,1200,0
83842,01/09/2015,1200,0
83842,02/09/2015,1200,0
83842,03/09/2015,1200,4.9
83842,04/09/2015,1200,20.3
83842,05/09/2015,1200,0
83842,06/09/2015,1200,0
83842,07/09/2015,1200,0.3
83842,08/09/2015,1200,26.8
83842,09/09/2015,1200,16.6
83842,10/09/2015,1200,0
83842,11/09/2015,1200,19.8
83842,12/09/2015,1200,0.2
83842,13/09/2015,1200,0
83842,14/09/2015,1200,0
83842,15/09/2015,1200,0
83842,16/09/2015,1200,0
83842,17/09/2015,1200,0
83842,18/09/2015,1200,0
83842,19/09/2015,1200,0
83842,20/09/2015,1200,0.4
83842,21/09/2015,1200,0
83842,22/09/2015,1200,0
83842,23/09/2015,1200,0
83842,24/09/2015,1200,0
83842,25/09/2015,1200,0
